EI_NAME,ENV_NAME,BOOTLOAD,PL_NAME,SRV_NAME,UNT,UNT_IMAGE,COMPUTE_UNIT,Cores,Memory (Gigs),Prod/Dev,EM  Y / N / Retire,Comments
OBIOTBIEED01,obi0133,apol5u10,TECHPROD-NADC-01,srv10611,unit3683,OBIOTBIEED01_BIS,48,8,24,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0133,apol5u10,TECHPROD-NADC-01,srv10611,unit5426,OBIOTBIEED01_OAM,32,4,16,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0222,apol5u10,TECHPROD-NADC-01,srv14805,unit20137,OBIOTBIEED01_OAM,32,4,16,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0222,apol5u10,TECHPROD-NADC-01,srv14805,unit4496,OBIOTBIEED01_BIS,48,8,24,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0231,apol5u10,TECHPROD-NADC-01,srv14708,unit2352,OBIOTBIEED01_BIS,48,8,24,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0231,apol5u10,TECHPROD-NADC-01,srv14708,unit2359,OBIOTBIEED01_OAM,32,4,16,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0233,apol5u10,TECHBUILD-NADC-01,srv13709,unit22043,OBIOTBIEED01_BIS,48,8,24,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0233,apol5u10,TECHBUILD-NADC-01,srv13709,unit22044,OBIOTBIEED01_OAM,32,4,16,Dev,Retire 12/31/2015,
OBIOTBIEED01,obi0240,apol5u10,TECHPROD-NADC-01,srv13703,unit23034,OBIOTBIEED01_BIS,48,8,24,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0240,apol5u10,TECHPROD-NADC-01,srv13703,unit23035,OBIOTBIEED01_OAM,32,4,16,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0243,apol5u10,TECHPROD-NADC-01,srv17825,unit3053,OBIOTBIEED01_BIS,48,8,24,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0243,apol5u10,TECHPROD-NADC-01,srv17931,unit3075,OBIOTBIEED01_OAM,32,4,16,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0275,apol5u10,TECHPROD-NADC-01,srv17932,unit0077,OBIOTBIEED01_BIS,48,8,24,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0275,apol5u10,TECHPROD-NADC-01,srv17932,unit0078,OBIOTBIEED01_OAM,32,4,16,Prod,Retire 12/31/2015,
OBIOTBIEED01,obi0322,apol5u10,TECHPROD-NADC-01,srv12002,unit20441,OBIOTBIEED01_BIS,48,8,24,Prod,Retire 12/31/2015,
